place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
1;1;3;1;2008;5;2;8;-1;-1;-1;-1
1;1;1;1;1948;5;1;8;-1;-1;-1;-1
1;1;4;1;1988;9;1;0;-1;0;0;-1
1;1;1;1;1970;4;1;0;-1;0;0;-1
1;1;1;1;2002;0;1;0;-1;-1;-1;-1
1;1;4;2;1987;9;1;0;-1;-1;-1;-1
1;1;1;2;2000;0;1;8;-1;-1;-1;-1
10;3;4;2;1967;5;0;-1;-1;2;3;1
1;1;1;2;1975;0;1;0;-1;-1;-1;-1
1;1;4;2;1996;0;1;0;-1;-1;-1;-1
1;1;1;1;1990;4;1;0;-1;0;0;-1
10;3;4;2;1990;3;0;-1;-1;2;1;1
1;1;1;1;1985;-1;1;-1;-1;0;0;-1
2;2;4;1;1999;5;8;0;-1;0;0;-1
1;1;4;2;2002;5;8;0;-1;0;0;-1
1;1;1;1;1979;0;1;-1;-1;0;0;-1
1;1;4;1;2007;5;2;-1;-1;0;0;-1
1;1;1;1;1962;2;1;0;-1;-1;-1;-1
10;3;4;2;2005;2;0;-1;-1;5;1;2
10;3;4;2;2006;0;0;-1;-1;2;3;1
1;1;1;1;1951;0;1;0;-1;-1;-1;-1
1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
2;2;3;2;2004;0;8;0;-1;-1;-1;-1
1;1;3;1;1973;0;2;6;-1;0;0;-1
1;1;1;1;1987;4;1;4;-1;0;0;-1
10;3;2;1;1976;9;0;-1;-1;1;9;1
1;1;1;2;1971;4;1;8;-1;0;0;-1
4;2;1;1;2007;2;1;0;-1;-1;-1;-1
2;2;4;1;1969;3;1;0;-1;-1;-1;-1
1;1;4;2;1987;9;1;0;-1;-1;-1;-1
1;1;4;1;1987;5;1;0;-1;-1;-1;-1
1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
3;2;4;1;1993;5;1;0;-1;0;0;-1
3;2;4;2;1991;5;1;0;-1;0;0;-1
2;2;4;1;1993;9;1;0;-1;0;0;-1
1;1;3;1;1995;9;1;0;-1;0;0;-1
1;1;1;2;1960;4;8;0;-1;0;0;-1
1;1;4;1;1982;9;8;0;-1;0;0;-1
1;1;1;1;2002;4;1;0;-1;0;0;-1
1;1;4;1;2003;5;8;0;-1;0;0;-1
1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
10;3;4;1;1971;9;8;8;-1;2;9;1
1;1;4;1;1976;1;2;6;-1;0;0;-1
1;1;1;1;1979;4;1;0;-1;0;0;-1
1;1;4;1;1978;4;2;6;-1;0;0;-1
1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
1;1;1;1;1980;4;1;0;-1;0;0;-1
1;1;4;1;1988;1;1;0;-1;0;0;-1
1;1;4;2;1964;1;1;0;-1;0;0;-1
1;1;4;1;1981;9;2;6;-1;0;0;-1
1;1;1;1;2002;9;1;0;-1;0;0;-1
10;3;4;1;1947;9;0;-1;-1;3;3;1
1;1;3;1;1961;9;8;0;-1;-1;-1;-1
2;2;1;2;2005;9;2;6;-1;0;0;-1
1;1;4;1;2003;9;2;6;-1;0;0;-1
1;1;1;2;1999;9;1;0;-1;0;0;-1
10;3;4;2;1990;5;0;-1;-1;4;3;1
1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
1;1;1;1;1973;4;8;0;-1;0;0;-1
10;3;4;2;1941;5;0;-1;-1;2;1;1
10;3;4;1;1969;1;0;-1;-1;4;3;1
1;1;1;1;2007;0;1;0;-1;-1;-1;-1
1;1;4;1;1997;0;8;0;-1;-1;-1;-1
2;2;4;1;2005;0;8;0;-1;-1;-1;-1
3;2;4;1;2003;0;8;0;-1;-1;-1;-1
4;2;4;1;2005;0;8;0;-1;-1;-1;-1
10;3;4;2;1960;0;0;-1;-1;4;3;1
1;1;1;1;1965;0;1;8;-1;0;0;-1
1;1;3;1;1977;9;8;0;-1;-1;-1;-1
1;1;1;1;1952;4;1;0;-1;-1;-1;-1
1;1;1;2;1957;9;1;0;-1;-1;-1;-1
10;3;4;2;1964;9;0;-1;-1;2;3;1
1;1;4;1;2005;2;2;6;-1;-1;-1;-1
1;1;4;1;2011;9;8;0;-1;-1;-1;-1
1;1;1;1;1961;4;1;0;-1;-1;-1;-1
10;3;4;2;2005;2;0;-1;-1;3;3;1
1;1;4;1;1997;4;1;5;-1;-1;-1;-1
1;1;1;2;1991;1;1;0;-1;-1;-1;-1
10;3;4;1;2005;2;0;-1;-1;3;3;1
10;3;4;1;2010;2;0;-1;-1;5;3;3
1;1;1;1;1961;9;1;8;-1;-1;-1;-1
2;2;4;2;2000;0;1;0;-1;-1;-1;-1
1;1;4;1;1999;0;1;0;-1;-1;-1;-1
4;2;4;2;2002;0;1;0;-1;-1;-1;-1
2;2;4;2;2002;0;1;0;-1;-1;-1;-1
1;1;4;2;2002;0;1;0;-1;-1;-1;-1
1;1;1;2;1997;1;1;0;-1;0;0;-1
10;3;4;2;2005;2;0;-1;-1;9;3;1
1;1;1;1;1979;1;1;4;-1;-1;-1;-1
1;1;1;2;2001;1;1;0;-1;-1;-1;-1
10;3;3;1;1984;9;0;-1;-1;1;3;1
1;1;4;1;1973;1;1;0;-1;0;0;-1
1;1;-1;-1;;-1;-1;-1;-1;0;0;-1
10;3;4;2;1949;0;0;-1;-1;9;B;1
2;2;1;1;2002;9;1;0;-1;0;0;-1
1;1;1;1;2003;0;1;0;-1;0;0;-1
1;1;1;2;1984;1;1;0;-1;0;0;-1
1;1;4;2;1984;9;1;0;-1;0;0;-1
1;1;4;1;1981;1;2;6;-1;0;0;-1
1;1;1;1;1976;0;1;0;-1;0;0;-1
1;1;4;1;1988;1;0;0;-1;0;0;-1
1;1;1;2;1974;5;1;0;-1;0;0;-1
1;1;1;2;1971;0;1;0;-1;0;0;-1
1;1;4;1;1973;0;2;6;-1;0;0;-1
1;1;4;1;1974;1;1;8;-1;-1;-1;-1
1;1;1;1;2001;9;1;8;-1;-1;-1;-1
1;1;-1;-1;;-1;-1;-1;-1;-1;-1;-1
1;1;4;1;1982;5;1;0;-1;0;0;-1
10;3;3;2;1951;0;0;-1;-1;3;1;1
1;1;1;1;1954;0;1;8;-1;-1;-1;-1
1;1;4;1;1990;5;8;8;-1;0;0;-1
10;3;4;1;2009;2;0;-1;-1;5;9;1
1;1;1;2;1934;0;8;8;-1;0;0;-1
10;3;4;1;2015;5;8;8;-1;1;3;1
1;1;1;2;1995;9;8;0;-1;0;0;-1
1;1;1;1;1989;4;8;0;-1;0;0;-1
1;1;4;2;1969;4;8;0;-1;0;0;-1
10;3;4;2;1988;0;8;8;-1;3;3;1
1;1;1;1;1965;0;1;8;-1;-1;-1;-1
1;1;4;1;1990;4;2;6;-1;-1;-1;-1
1;1;4;1;1974;1;1;0;-1;-1;-1;-1
1;1;1;1;1993;5;1;0;-1;-1;-1;-1
1;1;4;2;1990;1;8;0;-1;0;0;-1
1;1;1;1;1960;1;1;5;-1;-1;-1;-1
1;1;1;1;1973;4;1;8;-1;-1;-1;-1
1;1;4;2;1995;1;2;0;-1;-1;-1;-1
1;1;1;2;1967;0;8;0;-1;-1;-1;-1
1;1;4;1;1976;0;2;0;-1;-1;-1;-1
1;1;1;1;1980;4;8;0;-1;-1;-1;-1
10;3;4;2;1986;0;0;0;0;5;A;1
1;1;1;1;2000;0;1;0;-1;-1;-1;-1
1;1;4;1;1991;5;8;0;-1;-1;-1;-1
1;1;4;1;1995;4;2;0;-1;-1;-1;-1
1;1;1;2;1980;1;8;0;-1;-1;-1;-1
1;1;4;1;1996;5;2;6;-1;-1;-1;-1
1;1;1;1;1982;5;1;8;-1;-1;-1;-1
2;2;1;2;1981;5;1;8;-1;-1;-1;-1
2;2;1;1;2022;5;3;8;-1;-1;-1;-1
2;2;1;1;1997;5;1;-1;-1;0;0;-1
1;1;2;2;1968;5;1;-1;-1;0;0;-1
1;1;3;1;1971;5;6;2;-1;0;0;-1
1;1;4;1;1996;5;2;-1;-1;0;0;-1
1;1;1;1;1948;3;1;-1;-1;0;0;-1
10;3;4;1;1961;3;0;-1;-1;3;3;1
9;2;1;2;1988;5;0;-1;-1;0;0;-1
9;2;4;1;2018;5;0;-1;-1;0;0;-1
7;2;1;2;2013;5;0;-1;-1;0;0;-1
1;1;1;1;1985;5;1;-1;-1;0;0;-1
1;1;4;2;1993;9;1;-1;-1;0;0;-1
10;3;2;1;1963;4;0;-1;-1;6;B;1
1;1;1;1;1982;4;1;-1;-1;0;0;-1
1;1;4;1;1982;5;2;-1;-1;0;0;-1
2;2;2;2;1983;5;1;-1;-1;0;0;-1
1;1;2;1;1976;5;1;-1;-1;0;0;-1
2;2;3;2;2000;5;1;-1;-1;0;0;-1
1;1;3;1;2002;5;1;-1;-1;0;0;-1
1;1;1;1;1980;4;1;-1;-1;0;0;-1
1;1;1;1;1954;5;1;-1;-1;0;0;-1
7;2;1;2;1973;5;1;-1;-1;0;0;-1
8;2;4;2;1946;5;1;-1;-1;0;0;-1
9;2;1;2;1945;5;1;-1;-1;0;0;-1
3;2;1;2;1960;5;1;-1;-1;0;0;-1
2;2;1;2;1959;5;1;-1;-1;0;0;-1
1;1;4;1;1988;9;1;-1;-1;0;0;-1
1;1;1;1;1965;4;1;-1;-1;0;0;-1
1;1;3;1;1937;5;1;-1;-1;0;0;-1
2;2;4;2;1938;5;1;-1;-1;0;0;-1
1;1;1;2;1949;5;1;-1;-1;0;0;-1
1;1;3;1;1948;5;2;6;-1;0;0;-1
1;1;4;1;1968;5;1;-1;-1;0;0;-1
9;2;1;1;1999;5;1;-1;-1;0;0;-1
2;2;1;2;1971;5;1;-1;-1;0;0;-1
2;2;4;2;1999;5;1;-1;-1;0;0;-1
1;1;3;1;2000;5;1;-1;-1;0;0;-1
1;1;3;1;2004;5;1;-1;-1;0;0;-1
2;2;1;1;2004;5;1;-1;-1;0;0;-1
1;1;3;1;1949;5;1;-1;-1;0;0;-1
1;1;3;1;1987;5;1;-1;-1;0;0;-1
1;1;1;1;1948;5;1;-1;-1;0;0;-1
1;1;4;2;2001;5;1;-1;-1;0;0;-1
2;2;4;2;2004;5;1;-1;-1;0;0;-1
10;3;3;2;1991;3;0;-1;-1;2;B;1
1;1;1;1;1954;5;1;-1;-1;0;0;-1
1;1;2;1;1997;5;1;-1;-1;0;0;-1
1;1;1;1;1988;4;1;-1;-1;0;0;-1
1;1;1;1;1966;1;1;-1;-1;0;0;-1
1;1;3;1;1986;5;2;6;-1;0;0;-1
1;1;4;2;1982;1;1;-1;-1;0;0;-1
1;1;3;2;1969;5;1;-1;-1;0;0;-1
1;1;3;1;2001;9;1;-1;-1;0;0;-1
1;1;1;1;1975;1;1;-1;-1;0;0;-1
1;1;3;1;1968;1;2;-1;-1;0;0;-1
1;1;4;2;1997;5;1;-1;-1;0;0;-1
2;2;4;1;1997;5;1;-1;-1;0;0;-1
4;2;1;1;2004;5;1;-1;-1;0;0;-1
5;2;4;2;2001;5;1;-1;-1;0;0;-1
3;2;4;2;1998;5;1;-1;-1;0;0;-1
1;1;4;1;1981;1;2;6;-1;0;0;-1
1;1;3;1;2002;5;1;-1;-1;0;0;-1
1;1;4;1;1944;5;1;9;-1;0;0;-1
1;1;1;2;1983;5;1;9;-1;0;0;-1
1;1;1;1;1993;4;1;-1;-1;0;0;-1
1;1;3;1;1958;5;2;6;-1;0;0;-1
1;1;4;1;1987;0;2;-1;-1;0;0;-1
1;1;1;2;1965;5;1;-1;-1;0;0;-1
2;2;1;1;1965;5;1;-1;-1;0;0;-1
9;2;1;2;1997;5;1;-1;-1;0;0;-1
7;2;1;1;1994;5;1;-1;-1;0;0;-1
2;2;3;2;2006;0;0;-1;-1;0;0;-1
1;1;4;1;2006;0;8;-1;-1;0;0;-1
1;1;1;1;1952;5;8;-1;-1;0;0;-1
1;1;4;1;1965;4;2;6;5;0;0;-1
1;1;4;1;1994;5;1;-1;-1;0;0;-1
8;2;3;1;1999;5;0;-1;-1;0;0;-1
2;2;4;1;1998;5;1;-1;-1;0;0;-1
1;1;1;1;1955;5;1;-1;-1;0;0;-1
2;2;2;2;1932;3;1;-1;-1;0;0;-1
